model,accuracy,demographic_parity_difference
VQC,0.637398362159729,0.20914769172668457
QNN,0.6463414430618286,0.21562793850898743
CCQC,0.6487804651260376,0.17051731050014496
VQC,0.6658536791801453,0.21732580661773682
QNN,0.6796748042106628,0.24752148985862732
CCQC,0.6544715166091919,0.2101849615573883
